a,b
23.95,3.87E-05
23.95,4.24E-05
23.95,4.95E-05
23.95,6.33E-05
23.949,9.00E-05
23.949,0.00014107
23.949,0.00023908
23.949,0.00042831
23.946,0.00079555
23.938,0.0015429
23.909,0.0028234
23.866,0.0040785
23.805,0.0053393
23.727,0.0066193
23.629,0.0079334
23.507,0.009303
23.356,0.010749
23.167,0.012302
22.928,0.013988
22.62,0.015884
22.211,0.018031
21.657,0.020523
21.031,0.022935
20.397,0.025082
19.761,0.027049
19.127,0.028958
18.504,0.030875
17.905,0.033052
17.459,0.035188
17.256,0.036539
17.133,0.037578
17.045,0.03853
16.979,0.039483
16.928,0.040389
16.887,0.041359
16.858,0.042284
16.837,0.043242
16.826,0.04418
16.822,0.044965
16.822,0.044965
16.823,0.045086
16.828,0.046007
16.841,0.0469
16.862,0.047787
16.892,0.048671
16.93,0.049563
16.979,0.050472
17.04,0.051409
17.115,0.05237
17.2,0.053383
17.32,0.054595
17.47,0.055985
17.662,0.057577
17.912,0.059461
18.244,0.061779
18.695,0.064655
19.255,0.068116
19.833,0.071474
20.423,0.074766
21.022,0.078136
21.627,0.081443
22.237,0.084702
22.851,0.087985
23.469,0.091232
24.088,0.094449
24.71,0.097641
25.32,0.10086
25.932,0.10406
26.545,0.10721
