a,b,c
0.015319,-0.0064663,2.4638
0.014681,-0.0059669,2.4774
0.014043,-0.0045841,2.4513
0.013404,-0.0040314,2.4149
0.012766,-0.0031831,2.4164
0.012128,-0.0026552,2.3966
0.011489,-9.8467e-05,2.3644
0.010851,0.0030083,2.334
