a,b,c
11,0.016281,0
13.557,0.016313,0
13.557,0.016343,0
13.557,0.016354,0
13.558,0.016428,0
13.561,0.016511,0
13.565,0.016593,0
13.571,0.016676,0
13.578,0.016761,0
13.587,0.016849,0
13.598,0.01694,0
13.611,0.017037,0
13.628,0.017141,0
13.648,0.01728,0
13.675,0.017431,0
13.709,0.01761,0
13.753,0.017836,0
13.811,0.0181,0
13.89,0.018412,0
13.999,0.018791,0
14.154,0.019375,0
14.384,0.020151,0
14.738,0.021206,0
15.03,0.022068,0
15.313,0.02289,0
16.007,0.024789,0
16.705,0.026565,0
17.404,0.028351,0
17.96,0.029883,0
18.2,0.0304344,
18.5,0.0312195,
19,0.032528,
