a,b,c,d,e,f,g,h,i,j,k,l,m
1.17,-0.01419,-0.014415,-0.00069622,-0.00054894,0.0033778,0.0040138,0.0075206,0.0078756,-0.014165,-0.015222,0.030692,0.030523
1.18,-0.013882,-0.014305,0.0016978,0.0014187,0.0018729,0.0022118,0.0046198,0.0043649,-0.01109,-0.012335,0.02933,0.030487
1.19,-0.013226,-0.013649,0.0037125,0.0037498,8.958e-05,0.00027634,0.0016631,0.0017216,-0.0076097,-0.0077829,0.027056,0.027754
1.2,-0.012398,-0.013301,0.0056139,0.0054042,-0.0015412,-0.0013816,-0.0017065,-0.0013788,-0.0038698,-0.0039234,0.023839,0.023659
1.21,-0.011369,-0.012258,0.0074874,0.0067981,-0.0031345,-0.0030681,-0.0048789,-0.0041669,0.00070695,0.00076751,0.020357,0.021159
1.22,-0.010051,-0.010646,0.0090448,0.00866,-0.0042927,-0.0052748,-0.0075895,-0.0074086,0.0048482,0.004947,0.016597,0.01908
1.23,-0.0083801,-0.0088699,0.010352,0.010285,-0.0055789,-0.0056892,-0.010152,-0.010099,0.0087492,0.0087996,0.012254,0.01177
1.24,-0.0065019,-0.0065827,0.011344,0.011389,-0.0066608,-0.007428,-0.012413,-0.012792,0.012274,0.012128,0.0076136,0.0080629
1.25,-0.0044747,-0.0045419,0.012217,0.01187,-0.0075639,-0.0085356,-0.014404,-0.013766,0.015553,0.01582,0.0022537,0.0023025
1.26,-0.0020058,-0.001516,0.012796,0.012561,-0.0082754,-0.0094572,-0.016011,-0.016211,0.01803,0.01957,-0.0035231,-0.0025465
1.27,0.00060511,0.00057929,0.01304,0.013005,-0.0089666,-0.0095235,-0.017347,-0.017163,0.020819,0.018956,-0.008549,-0.0075519
1.28,0.0029014,0.0030559,0.013048,0.013071,-0.0092718,-0.010504,-0.018326,-0.018235,0.022651,0.022791,-0.012946,-0.013382
1.29,0.0051509,0.0046886,0.012755,0.012905,-0.0094743,-0.010596,-0.018831,-0.01873,0.02389,0.024395,-0.017294,-0.016002
1.3,0.0071966,0.0069358,0.012218,0.012594,-0.009362,-0.010601,-0.018948,-0.019043,0.024752,0.024942,-0.020522,-0.021853
1.31,0.0089454,0.0088191,0.011286,0.011238,-0.0091162,-0.010485,-0.018695,-0.018943,0.024912,0.02552,-0.023892,-0.02194
1.32,0.01032,0.011109,0.010316,0.011077,-0.0085453,-0.0096553,-0.017974,-0.018276,0.024492,0.025324,-0.026497,-0.02629
1.33,0.011805,0.010813,0.0089091,0.0087836,-0.0078499,-0.0092233,-0.016639,-0.01662,0.023546,0.02466,-0.02853,-0.027988
1.34,0.012907,0.012499,0.0073586,0.007821,-0.0070589,-0.0084479,-0.015062,-0.015508,0.022311,0.023752,-0.030134,-0.029183
