a,b,c,d,e,f,g,h,i,j,k,l,m
1.77,0.014133,0.014036,0.0024646,0.0023861,-0.0037013,-0.0045747,-0.010723,-0.012211,0.017051,0.017653,-0.031072,-0.030542
1.78,0.01413,0.014217,0.00010746,0.0001501,-0.0024002,-0.0027729,-0.0082561,-0.0087655,0.014497,0.016458,-0.030219,-0.029842
1.79,0.013865,0.014101,-0.0021631,-0.0018949,-0.00065835,-0.00041863,-0.0054851,-0.0053539,0.010824,0.010266,-0.02859,-0.028601
1.8,0.013179,0.013324,-0.004129,-0.0042638,0.00097685,0.0011411,-0.0025053,-0.002272,0.0072783,0.0078281,-0.026544,-0.027603
1.81,0.012239,0.012719,-0.0060432,-0.005659,0.0026647,0.0028064,0.00088023,0.00079165,0.0030859,0.0029241,-0.02398,-0.024786
1.82,0.011069,0.011627,-0.0077732,-0.0076262,0.0040702,0.0046849,0.0038192,0.0039536,-0.0012121,-0.00087512,-0.020426,-0.019865
1.83,0.0097414,0.010902,-0.0093865,-0.0084321,0.0053645,0.0061268,0.0069242,0.0060797,-0.0054035,-0.0048509,-0.016858,-0.017753
1.84,0.0080961,0.0083687,-0.010621,-0.010655,0.0066442,0.0072321,0.0094672,0.0093845,-0.0090813,-0.0086452,-0.012338,-0.011811
1.85,0.006197,0.0067233,-0.011606,-0.011227,0.0078586,0.0078481,0.011937,0.011119,-0.012359,-0.012908,-0.0078905,-0.0078751
1.86,0.0038311,0.0036189,-0.012352,-0.012182,0.0086337,0.0096954,0.014227,0.013222,-0.015348,-0.0154,-0.0029079,-0.0025447
1.87,0.0016828,0.0019126,-0.012929,-0.012539,0.0092187,0.010166,0.015837,0.016054,-0.018214,-0.017273,0.0028901,0.0026451
1.88,-0.00086762,-0.00061762,-0.013156,-0.01299,0.0096204,0.010607,0.017049,0.017332,-0.02037,-0.020768,0.0081005,0.0073269
1.89,-0.0032276,-0.0029817,-0.013115,-0.013025,0.0097577,0.010911,0.018152,0.017625,-0.022049,-0.022792,0.012506,0.013245
1.9,-0.0053126,-0.0054197,-0.012668,-0.012564,0.0096864,0.010903,0.018812,0.018623,-0.023565,-0.023332,0.01673,0.017471
1.91,-0.0072611,-0.0070136,-0.011988,-0.012218,0.0094118,0.010709,0.018922,0.01902,-0.024722,-0.024025,0.020691,0.019525
1.92,-0.0089603,-0.0091886,-0.011057,-0.011348,0.0089275,0.010277,0.018405,0.018637,-0.025024,-0.025146,0.024062,0.024261
1.93,-0.01054,-0.01011,-0.0099867,-0.010836,0.0082503,0.0095293,0.017599,0.018191,-0.024796,-0.025096,0.027068,0.025551
1.94,-0.011876,-0.011806,-0.0083602,-0.0076738,0.0072826,0.0081141,0.016622,0.017849,-0.023735,-0.02377,0.029312,0.029236
1.95,-0.012876,-0.013034,-0.0067144,-0.0069148,0.0061122,0.0070486,0.015438,0.016878,-0.022105,-0.022494,0.031069,0.030033
1.96,-0.013728,-0.013475,-0.0046568,-0.0042132,0.0048137,0.0054137,0.013773,0.014782,-0.020377,-0.022175,0.032388,0.031046
1.97,-0.014137,-0.014337,-0.0026889,-0.0026745,0.0035189,0.0042842,0.011425,0.01095,-0.018306,-0.020254,0.03261,0.031903
1.98,-0.014248,-0.014478,-0.00038821,-0.0003033,0.0020366,0.0024972,0.0090172,0.0096981,-0.015522,-0.015598,0.032125,0.031734
1.99,-0.014,-0.014322,0.0019616,0.0016866,0.00026832,0.00044654,0.0064456,0.0067757,-0.012465,-0.01316,0.030618,0.030049
2,-0.013622,-0.014249,0.0040001,0.003812,-0.0013834,-0.0012367,0.0033372,0.0031575,-0.0090786,-0.0090858,0.028932,0.029596
