a,b,c,d,e,f,g,h,i,j,k,l,m
1.7,-0.029579776,-0.028635364,-0.027727627,-0.028314191,-0.001631825,-0.001844571,0.055225573,0.055747277,-0.00352795,-0.004110715,-0.08543604,-0.084223603
1.71,-0.029383481,-0.028669052,-0.027432799,-0.028230635,-0.000653827,-0.000721991,0.050122553,0.051843783,0.008333808,0.007275026,-0.082488786,-0.081974024
1.72,-0.028484576,-0.027992964,-0.026561489,-0.027474596,0.000541065,0.000507319,0.043813353,0.04550347,0.020323969,0.018071497,-0.07733491,-0.077335733
1.73,-0.02696975,-0.026629286,-0.025169744,-0.026474797,0.001541465,0.001738989,0.036180817,0.036028706,0.030705921,0.030806153,-0.070652734,-0.071257676
1.74,-0.024677642,-0.023922873,-0.022893686,-0.023085085,0.00262954,0.002478721,0.027858845,0.028245622,0.040651423,0.038799307,-0.062390843,-0.063758391
1.75,-0.021847117,-0.021416745,-0.020415883,-0.022356984,0.003751734,0.003371231,0.019486791,0.019959184,0.050069925,0.047498977,-0.051775905,-0.050332884
1.76,-0.018940761,-0.019563017,-0.017516908,-0.018562066,0.004694756,0.00442961,0.009962331,0.009362399,0.058019306,0.054835956,-0.040249487,-0.040400771
1.77,-0.015176871,-0.01392407,-0.014065999,-0.014376275,0.005383032,0.005817191,-0.000300359,-0.000468992,0.064762208,0.061602376,-0.027983595,-0.027909058
1.78,-0.0117012,-0.01242671,-0.01081396,-0.011859805,0.005883039,0.006205876,-0.008926944,-0.009915474,0.070131647,0.066975505,-0.015852243,-0.017017573
1.79,-0.0076454,-0.007500758,-0.006860599,-0.00643861,0.006412657,0.006463711,-0.017657813,-0.018402971,0.074047028,0.069796674,-0.004175278,-0.004817599
1.8,-0.003668778,-0.003693137,-0.003028087,-0.002685277,0.006808551,0.006795275,-0.026579956,-0.026698979,0.075914575,0.072917349,0.009078568,0.008188196
1.81,0.000480535,0.000796923,0.000971323,0.001657756,0.007132261,0.007051737,-0.035360479,-0.032606405,0.076039759,0.073614252,0.022216457,0.02105383
1.82,0.00500201,0.004734707,0.005169859,0.005451172,0.007212255,0.00733588,-0.043149313,-0.039271115,0.074507295,0.072751396,0.034129027,0.034280168
1.83,0.009640772,0.009034524,0.009520188,0.009486845,0.007042139,0.007267773,-0.049911398,-0.046191085,0.070739628,0.06868315,0.045600857,0.043944145
1.84,0.014169242,0.012428097,0.01379623,0.01282656,0.006727484,0.007112248,-0.055817021,-0.051850203,0.06562133,0.065583031,0.056000189,0.054240266
1.85,0.018075526,0.016733107,0.017368074,0.017728952,0.006243527,0.00646723,-0.059941787,-0.058207596,0.058841263,0.059231088,0.06522364,0.062266809
1.86,0.021684491,0.020411811,0.020881081,0.019183525,0.005625418,0.006097858,-0.063035511,-0.059593719,0.050946385,0.050928128,0.073284601,0.06958778
1.87,0.024161308,0.024606313,0.02324812,0.02421861,0.004977096,0.005570943,-0.064052047,-0.062319101,0.041822797,0.042799533,0.07961852,0.075463406
1.88,0.026778972,0.024389119,0.02509614,0.025978783,0.004162777,0.00460582,-0.063723401,-0.062432225,0.031562811,0.030622389,0.083784441,0.080692769
1.89,0.028252985,0.027913198,0.026936308,0.026280349,0.003211215,0.003236434,-0.061802339,-0.061005634,0.021025421,0.021634457,0.085845279,0.0834333
1.9,0.029259779,0.028495087,0.027846585,0.02817665,0.002239826,0.002491209,-0.058333878,-0.058077777,0.009370343,0.008355634,0.086098908,0.084135181
1.91,0.029630482,0.029101696,0.028149996,0.028532933,0.001286848,0.001510851,-0.053380932,-0.051807845,-0.002640718,-0.00283613,0.084227628,0.083072768
1.92,0.029507959,0.02914195,0.027784186,0.028444484,0.00021199,0.000245964,-0.04735536,-0.047494295,-0.013348311,-0.014401858,0.080377006,0.080077664
1.93,0.028723295,0.028607611,0.026746407,0.027496828,-0.000970456,-0.000861852,-0.040443157,-0.042524484,-0.024170531,-0.023882801,0.074074501,0.072840119
1.94,0.02745167,0.027820801,0.024921003,0.025803088,-0.001948239,-0.002085498,-0.032322673,-0.033671993,-0.035197457,-0.03264487,0.066228203,0.066931835
1.95,0.024988715,0.023798732,0.023053756,0.025512465,-0.002887699,-0.003036545,-0.023568286,-0.023772753,-0.045259088,-0.042241514,0.057005094,0.057134992
1.96,0.022507264,0.024109826,0.020617023,0.022335742,-0.003755018,-0.00409621,-0.015000452,-0.015524596,-0.054707116,-0.050087511,0.046786736,0.048116289
1.97,0.019345691,0.019369611,0.017089339,0.016649073,-0.004572384,-0.004586561,-0.006400947,-0.007041262,-0.062871846,-0.05884104,0.035317825,0.035142165
1.98,0.015340402,0.014715829,0.013489557,0.014419836,-0.00535825,-0.005119098,0.00291885,0.002789356,-0.06864456,-0.067024953,0.023681845,0.025196234
1.99,0.011044233,0.010451374,0.009158841,0.009032329,-0.006002666,-0.005897453,0.01314004,0.011893417,-0.073146337,-0.070432603,0.010693215,0.009945665
2,0.006315176,0.006025428,0.004554582,0.004593552,-0.006472246,-0.00661577,0.022343408,0.021779997,-0.075962785,-0.073341105,-0.002525397,-0.002748693
