a,b,c
0.02,-2.9987,-0.4834
1.02,-3.0256,-0.5054
2.02,-3.0542,-0.5269
3.02,-3.0854,-0.5482
4.02,-3.1199,-0.5691
5.02,-3.1579,-0.5893
6.02,-3.2,-0.6081
7.02,-3.2462,-0.6251
8.02,-3.2968,-0.6397
9.02,-3.3518,-0.6512
10.02,-3.4114,-0.6591
11.02,-3.4762,-0.6628
12.02,-3.5466,-0.6614
13.02,-3.6234,-0.6541
14.02,-3.7074,-0.64
15.02,-3.7996,-0.6181
16.02,-3.901,-0.5872
17.02,-4.0125,-0.5464
18.02,-4.1348,-0.4952
19.02,-4.268,-0.4334
20.02,-4.4119,-0.3613
21.02,-4.5655,-0.2798
22.02,-4.7277,-0.1902
23.02,-4.8969,-0.094
24.02,-5.0717,0.0073
25.02,-5.251,0.1124
26.02,-5.4336,0.2202
27.02,-5.6188,0.33
28.02,-5.8059,0.4409
29.02,-5.9946,0.5526
30.02,-6.1846,0.6647
